validation_season,classifier_weight,poisson_weight,accuracy,macro_f1,log_loss,brier_score,ece,draw_recall,draw_prediction_rate,actual_draw_rate,mean_draw_probability
2019,0.75,0.25,0.5236842105263158,0.38805792972459646,0.9724427710999661,0.5774697814940849,0.04449610488150541,0.0,0.005263157894736842,0.24210526315789474,0.20539201797216278
2019,0.8,0.19999999999999996,0.5236842105263158,0.38805792972459646,0.9727653152488233,0.5777362396509426,0.04446469828930684,0.0,0.005263157894736842,0.24210526315789474,0.20419591078154373
2019,0.8500000000000001,0.1499999999999999,0.5263157894736842,0.39036920247010903,0.9731716383838102,0.5780461654036068,0.04072931278937402,0.0,0.005263157894736842,0.24210526315789474,0.20299980359092473
2019,0.9,0.09999999999999998,0.5263157894736842,0.39036920247010903,0.9736640812780197,0.5783995587520777,0.04361184561192278,0.0,0.005263157894736842,0.24210526315789474,0.20180369640030568
2019,0.9500000000000001,0.04999999999999993,0.5289473684210526,0.39218048082144447,0.974245340731367,0.5787964196963553,0.042790220627468484,0.0,0.005263157894736842,0.24210526315789474,0.20060758920968663
2019,1.0,0.0,0.5289473684210526,0.3980550285411253,0.9749185210305628,0.5792367482364394,0.048312292642511405,0.010869565217391304,0.010526315789473684,0.24210526315789474,0.19941148201906758
2020,0.0,1.0,0.4868421052631579,0.35504899743705715,1.023365378765259,0.6104022385242478,0.05787576289632003,0.0,0.0,0.21842105263157896,0.23052483087712217
2020,0.05,0.95,0.4868421052631579,0.35504899743705715,1.0226935919974665,0.6099953779051427,0.05020310839936297,0.0,0.0,0.21842105263157896,0.2309128514877675
2020,0.1,0.9,0.4868421052631579,0.35504899743705715,1.0221043908900784,0.6096361740525523,0.05040462891723316,0.0,0.0,0.21842105263157896,0.23130087209841282
2020,0.15000000000000002,0.85,0.4868421052631579,0.35504899743705715,1.0215969319550446,0.6093246269664772,0.05368577863051745,0.0,0.0,0.21842105263157896,0.23168889270905813
2020,0.2,0.8,0.48947368421052634,0.3574156396448492,1.021170542676549,0.6090607366469168,0.045901018461625975,0.0,0.0,0.21842105263157896,0.23207691331970345
2020,0.25,0.75,0.4921052631578947,0.35983109858204726,1.0208247120318714,0.6088445030938715,0.042889519612913735,0.0,0.0,0.21842105263157896,0.2324649339303488
2020,0.30000000000000004,0.7,0.48947368421052634,0.3574732398612996,1.020559083254127,0.608675926307341,0.044368769495257275,0.0,0.0,0.21842105263157896,0.23285295454099414
2020,0.35000000000000003,0.6499999999999999,0.4921052631578947,0.3591917069666069,1.0203734485659364,0.6085550062873255,0.046710594091579856,0.0,0.0,0.21842105263157896,0.23324097515163947
2020,0.4,0.6,0.4921052631578947,0.3591917069666069,1.0202677456893472,0.608481743033825,0.046231994693497286,0.0,0.0,0.21842105263157896,0.23362899576228482
2020,0.45,0.55,0.4921052631578947,0.35925845331785927,1.0202420560002878,0.6084561365468394,0.045119817465264285,0.0,0.0,0.21842105263157896,0.23401701637293018
2020,0.5,0.5,0.48947368421052634,0.35695199316525184,1.0202966042500003,0.6084781868263688,0.045550301327987215,0.0,0.0,0.21842105263157896,0.23440503698357554
2020,0.55,0.44999999999999996,0.4921052631578947,0.3593318809005083,1.02043175982485,0.608547893872413,0.04666604100430562,0.0,0.0,0.21842105263157896,0.23479305759422084
2020,0.6000000000000001,0.3999999999999999,0.49473684210526314,0.3617004557598617,1.0206480395627788,0.6086652576849724,0.05212430467126475,0.0,0.0,0.21842105263157896,0.23518107820486614
2020,0.65,0.35,0.48947368421052634,0.35810784197880974,1.0209461121922287,0.6088302782640465,0.0517762094220492,0.0,0.002631578947368421,0.21842105263157896,0.23556909881551147
2020,0.7000000000000001,0.29999999999999993,0.4921052631578947,0.3669364077923198,1.0213268045106392,0.6090429556096356,0.05403359226292015,0.012048192771084338,0.007894736842105263,0.21842105263157896,0.23595711942615682
2020,0.75,0.25,0.4921052631578947,0.3684780132148553,1.0217911094778829,0.6093032897217396,0.05987743569331008,0.012048192771084338,0.013157894736842105,0.21842105263157896,0.23634514003680215
2020,0.8,0.19999999999999996,0.49473684210526314,0.3768086073066859,1.0223401964693455,0.6096112806003587,0.05886934095682289,0.024096385542168676,0.018421052631578946,0.21842105263157896,0.2367331606474475
2020,0.8500000000000001,0.1499999999999999,0.48947368421052634,0.37457521691541446,1.022975424019091,0.6099669282454927,0.06047145492679652,0.024096385542168676,0.02631578947368421,0.21842105263157896,0.2371211812580928
2020,0.9,0.09999999999999998,0.4868421052631579,0.3792082147920716,1.0236983554929704,0.6103702326571416,0.05529346907487866,0.03614457831325301,0.034210526315789476,0.21842105263157896,0.2375092018687381
2020,0.9500000000000001,0.04999999999999993,0.4868421052631579,0.38429631053874486,1.024510778274902,0.6108211938353055,0.05614084169796754,0.04819277108433735,0.039473684210526314,0.21842105263157896,0.2378972224793835
2020,1.0,0.0,0.4921052631578947,0.39330321830536263,1.0254147272418577,0.6113198117799843,0.07001237382643087,0.060240963855421686,0.04473684210526316,0.21842105263157896,0.2382852430900288
2021,0.0,1.0,0.5605263157894737,0.4175006223549913,0.964793134463518,0.5731508627153499,0.05021678722481377,0.0,0.0,0.23157894736842105,0.22111418505477146
2021,0.05,0.95,0.5631578947368421,0.4211772321634994,0.9643134216175805,0.5726764083021297,0.052785894584930756,0.0,0.0,0.23157894736842105,0.22093389793398993
2021,0.1,0.9,0.5578947368421052,0.4176470588235294,0.963993093412724,0.5722978943748649,0.051244798285622215,0.0,0.0,0.23157894736842105,0.22075361081320846
2021,0.15000000000000002,0.85,0.5526315789473685,0.4139307843065649,0.9638267761297943,0.5720153209335552,0.060674637627321656,0.0,0.0,0.23157894736842105,0.220573323692427
2021,0.2,0.8,0.5473684210526316,0.41004450673972204,0.9638100773452813,0.5718286879782007,0.04859592958668796,0.0,0.0,0.23157894736842105,0.2203930365716455
2021,0.25,0.75,0.5526315789473685,0.41446007854393957,0.9639394136616458,0.5717379955088014,0.05334186379528345,0.0,0.0,0.23157894736842105,0.22021274945086403
2021,0.30000000000000004,0.7,0.5552631578947368,0.41680920705310953,0.9642118847481936,0.5717432435253573,0.06135245654636457,0.0,0.0,0.23157894736842105,0.22003246233008253
2021,0.35000000000000003,0.6499999999999999,0.5578947368421052,0.41898148148148157,0.9646251799874603,0.5718444320278683,0.060403078061792785,0.0,0.0,0.23157894736842105,0.21985217520930103
2021,0.4,0.6,0.5605263157894737,0.421136996046719,0.965177508776131,0.5720415610163344,0.05108479958814512,0.0,0.0,0.23157894736842105,0.21967188808851956
